grade,level,word,englishHint,englishScenario,tagalogHint,tagalogScenario,category
3,MEDIUM,IMAGINATION,The ability to form mental images,Writers use this to create stories. Can you spell it?,Ang kakayahang bumuo ng mga mental na larawan,Ginagamit ng mga manunulat ito upang lumikha ng mga kuwento. Marunong ka bang magbaybay nito?,Skills
3,MEDIUM,INNOVATION,Creating new ideas or methods,Inventors are known for their this. Can you spell it?,Paglikha ng mga bagong ideya o pamamaraan,Ang mga imbentor ay kilala sa kanilang ito. Marunong ka bang magbaybay nito?,Skills
3,MEDIUM,INSPIRATION,Something that motivates you to act,Teachers can be this for their students. Can you spell it?,Isang bagay na nag-uudyok sa iyo na kumilos,Ang mga guro ay maaaring maging ito para sa kanilang mga estudyante. Marunong ka bang magbaybay nito?,Motivation
3,MEDIUM,MOTIVATION,The reason for doing something,Your dreams provide this to work hard. Can you spell it?,Ang dahilan para sa paggawa ng isang bagay,Ang iyong mga pangarap ay nagbibigay nito upang magsipag. Marunong ka bang magbaybay nito?,Motivation
3,MEDIUM,DETERMINATION,Firmness of purpose,You need this to achieve difficult goals. Can you spell it?,Katibayan ng layunin,Kailangan mo nito upang makamit ang mahihirap na layunin. Marunong ka bang magbaybay nito?,Qualities
3,MEDIUM,DEDICATION,Commitment to a task or purpose,Athletes show this through daily practice. Can you spell it?,Pangako sa isang gawain o layunin,Ipinapakita ng mga atleta ito sa pamamagitan ng araw-araw na pagsasanay. Marunong ka bang magbaybay nito?,Values
3,MEDIUM,COMMITMENT,A promise to do something,You make this when you join a team. Can you spell it?,Isang pangako na gawin ang isang bagay,Ginagawa mo ito kapag sumali ka sa isang koponan. Marunong ka bang magbaybay nito?,Values
3,MEDIUM,DEVOTION,Strong love and loyalty,Parents show this to their children. Can you spell it?,Malakas na pagmamahal at katapatan,Ipinapakita ng mga magulang ito sa kanilang mga anak. Marunong ka bang magbaybay nito?,Values
3,MEDIUM,CONFIDENCE,Belief in your own abilities,You gain this through practice and success. Can you spell it?,Paniniwala sa iyong sariling kakayahan,Nakakakuha ka nito sa pamamagitan ng pagsasanay at tagumpay. Marunong ka bang magbaybay nito?,Qualities
3,MEDIUM,PERSEVERANCE,Continuing despite difficulties,You show this when you don't give up. Can you spell it?,Pagpapatuloy sa kabila ng mga kahirapan,Ipinapakita mo ito kapag hindi ka sumusuko. Marunong ka bang magbaybay nito?,Values
3,MEDIUM,PERSISTENCE,Continuing firmly despite obstacles,Successful people are known for their this. Can you spell it?,Patuloy na pagsisikap sa kabila ng mga hadlang,Ang mga matagumpay na tao ay kilala sa kanilang ito. Marunong ka bang magbaybay nito?,Values
3,MEDIUM,RESILIENCE,Ability to recover from difficulties,You show this when you bounce back from failure. Can you spell it?,Kakayahang makabawi mula sa mga kahirapan,Ipinapakita mo ito kapag bumangon ka mula sa pagkabigo. Marunong ka bang magbaybay nito?,Qualities
3,MEDIUM,FLEXIBILITY,Ability to adapt to changes,You need this when plans change suddenly. Can you spell it?,Kakayahang umangkop sa mga pagbabago,Kailangan mo nito kapag biglang nagbago ang mga plano. Marunong ka bang magbaybay nito?,Qualities
3,MEDIUM,ADAPTABILITY,Ability to adjust to new conditions,Animals show this when their habitat changes. Can you spell it?,Kakayahang mag-adjust sa mga bagong kondisyon,Ipinapakita ng mga hayop ito kapag nagbabago ang kanilang tirahan. Marunong ka bang magbaybay nito?,Qualities
3,HARD,PERSEVERANCE,Persistence in doing something despite difficulty,Marathon runners need this to finish the race. Can you spell it?,Pagpapatuloy sa paggawa ng isang bagay sa kabila ng kahirapan,Kailangan ng mga marathon runner ito upang tapusin ang karera. Marunong ka bang magbaybay nito?,Values
3,HARD,DETERMINATION,Firmness in pursuing a goal,You need this quality to overcome challenges. Can you spell it?,Katibayan sa paghabol ng isang layunin,Kailangan mo ng katangiang ito upang malampasan ang mga hamon. Marunong ka bang magbaybay nito?,Qualities
3,HARD,DEDICATION,Complete commitment to a cause,Teachers show this through their hard work. Can you spell it?,Kumpletong pangako sa isang layunin,Ipinapakita ng mga guro ito sa pamamagitan ng kanilang sipag. Marunong ka bang magbaybay nito?,Values
3,HARD,COMMITMENT,A pledge to do something,You make this when you promise to study hard. Can you spell it?,Isang pangako na gawin ang isang bagay,Ginagawa mo ito kapag nangako kang mag-aral nang mabuti. Marunong ka bang magbaybay nito?,Values
3,HARD,DEVOTION,Profound dedication and loyalty,Religious people show this in their faith. Can you spell it?,Malalim na dedikasyon at katapatan,Ipinapakita ng mga relihiyosong tao ito sa kanilang pananampalataya. Marunong ka bang magbaybay nito?,Values
3,HARD,COMPASSION,Sympathetic concern for others' suffering,Nurses show this when caring for patients. Can you spell it?,Simpatikong malasakit para sa pagdurusa ng iba,Ipinapakita ng mga nars ito kapag nag-aalaga ng mga pasyente. Marunong ka bang magbaybay nito?,Values
3,HARD,EMPATHY,Understanding and sharing others' feelings,You show this when you feel what your friend feels. Can you spell it?,Pag-unawa at pagbabahagi ng damdamin ng iba,Ipinapakita mo ito kapag nararamdaman mo ang nararamdaman ng iyong kaibigan. Marunong ka bang magbaybay nito?,Values
3,HARD,SYMPATHY,Feelings of pity and sorrow for someone,You feel this when you see someone crying. Can you spell it?,Damdamin ng awa at kalungkutan para sa isang tao,Nararamdaman mo ito kapag nakikita mo ang isang taong umiiyak. Marunong ka bang magbaybay nito?,Emotions
3,HARD,UNDERSTANDING,Comprehension and tolerance of others,Good friends have this for each other. Can you spell it?,Pag-unawa at pagtitiis sa iba,Ang mabubuting kaibigan ay may ito para sa isa't isa. Marunong ka bang magbaybay nito?,Values
3,HARD,CONSIDERATION,Careful thought about others' needs,You show this by not making noise when others sleep. Can you spell it?,Maingat na pag-iisip tungkol sa pangangailangan ng iba,Ipinapakita mo ito sa pamamagitan ng hindi paggawa ng ingay kapag natutulog ang iba. Marunong ka bang magbaybay nito?,Values
3,HARD,ACCOUNTABILITY,Responsibility for one's actions,Leaders must have this for their decisions. Can you spell it?,Responsibilidad para sa sariling mga aksyon,Dapat mayroon ang mga lider nito para sa kanilang mga desisyon. Marunong ka bang magbaybay nito?,Values
3,HARD,RESPONSIBILITY,Duty to deal with something,You have this to complete your homework. Can you spell it?,Tungkulin na harapin ang isang bagay,Mayroon kang ito upang kumpletuhin ang iyong takdang-aralin. Marunong ka bang magbaybay nito?,Values
3,HARD,RELIABILITY,Quality of being trustworthy,Your best friend is known for this trait. Can you spell it?,Katangian ng pagiging mapagkakatiwalaan,Ang iyong best friend ay kilala sa katangiang ito. Marunong ka bang magbaybay nito?,Values
3,HARD,DEPENDABILITY,Quality of being reliable,Parents are known for their this. Can you spell it?,Katangian ng pagiging maaasahan,Ang mga magulang ay kilala sa kanilang ito. Marunong ka bang magbaybay nito?,Values
3,HARD,TRUSTWORTHINESS,Deserving of trust and confidence,Honest people are valued for their this. Can you spell it?,Karapat-dapat sa tiwala at kumpiyansa,Ang mga taong tapat ay pinahahalagahan para sa kanilang ito. Marunong ka bang magbaybay nito?,Values
3,HARD,INDEPENDENCE,Freedom from outside control,Teenagers want more of this as they grow. Can you spell it?,Kalayaan mula sa kontrol ng iba,Gusto ng mga teenager ng higit pa nito habang lumalaki. Marunong ka bang magbaybay nito?,Qualities
3,HARD,SELF-RELIANCE,Reliance on one's own powers,Adults need this to live independently. Can you spell it?,Pag-asa sa sariling kapangyarihan,Kailangan ng mga matatanda ito upang mabuhay nang nakapag-iisa. Marunong ka bang magbaybay nito?,Qualities
3,HARD,SELF-CONTROL,Ability to control one's emotions,You need this to stay calm when angry. Can you spell it?,Kakayahang kontrolin ang sariling emosyon,Kailangan mo nito upang manatiling kalmado kapag galit. Marunong ka bang magbaybay nito?,Skills
3,HARD,SELF-DISCIPLINE,Ability to control one's behavior,Students need this to study without supervision. Can you spell it?,Kakayahang kontrolin ang sariling pag-uugali,Kailangan ng mga estudyante ito upang mag-aral nang walang supervision. Marunong ka bang magbaybay nito?,Skills
3,HARD,SELF-CONFIDENCE,Trust in one's own abilities,You build this through achievements and practice. Can you spell it?,Tiwala sa sariling kakayahan,Binubuo mo ito sa pamamagitan ng mga tagumpay at pagsasanay. Marunong ka bang magbaybay nito?,Qualities
3,HARD,COMMUNICATION,Exchange of information between people,Good this is important in relationships. Can you spell it?,Palitan ng impormasyon sa pagitan ng mga tao,Ang mabuting ito ay mahalaga sa mga relasyon. Marunong ka bang magbaybay nito?,Skills
3,HARD,COLLABORATION,Working jointly with others,Scientists practice this on research projects. Can you spell it?,Pagtutulungan kasama ang iba,Ginagawa ng mga siyentipiko ito sa mga research project. Marunong ka bang magbaybay nito?,Skills
3,HARD,COOPERATION,Acting together for a common purpose,Team sports require this from all players. Can you spell it?,Pagkilos nang magkasama para sa isang layunin,Ang team sports ay nangangailangan nito mula sa lahat ng manlalaro. Marunong ka bang magbaybay nito?,Values
3,HARD,COORDINATION,Organization of different elements,Event planning requires good this. Can you spell it?,Organisasyon ng iba't ibang elemento,Ang pagpaplano ng event ay nangangailangan ng mabuting ito. Marunong ka bang magbaybay nito?,Skills
3,HARD,ORGANIZATION,Systematic arrangement of parts,Your desk needs this to stay tidy. Can you spell it?,Sistematikong pag-aayos ng mga bahagi,Kailangan ng iyong desk ito upang manatiling malinis. Marunong ka bang magbaybay nito?,Skills
3,HARD,ADMINISTRATION,Management of an organization,School principals handle this work. Can you spell it?,Pamamahala ng isang organisasyon,Hinahawakan ng mga school principal ang gawaing ito. Marunong ka bang magbaybay nito?,Skills
3,HARD,MANAGEMENT,Process of dealing with things,Time this helps you finish tasks on schedule. Can you spell it?,Proseso ng pakikitungo sa mga bagay,Ang oras na ito ay tumutulong sa iyo na tapusin ang mga gawain sa takdang oras. Marunong ka bang magbaybay nito?,Skills
3,HARD,SUPERVISION,Overseeing work or activities,Teachers provide this during group work. Can you spell it?,Pag-oobserba ng trabaho o aktibidad,Nagbibigay ang mga guro nito sa panahon ng group work. Marunong ka bang magbaybay nito?,Skills
3,HARD,DIRECTION,Guidance toward a goal,Coaches give this to their teams. Can you spell it?,Gabay tungo sa isang layunin,Nagbibigay ang mga coach nito sa kanilang mga koponan. Marunong ka bang magbaybay nito?,Skills
3,HARD,IMAGINATION,Creative mental ability,Writers need this to create stories. Can you spell it?,Malikhain na mental na kakayahan,Kailangan ng mga manunulat ito upang lumikha ng mga kuwento. Marunong ka bang magbaybay nito?,Skills
3,HARD,CREATIVITY,Ability to create original ideas,Artists are known for their this. Can you spell it?,Kakayahang lumikha ng orihinal na ideya,Ang mga artist ay kilala sa kanilang ito. Marunong ka bang magbaybay nito?,Skills
4,EASY,DISCOVERY,Finding something new or unknown,Scientists make this when they find new things. Can you spell it?,Paghahanap ng isang bagong o hindi kilalang bagay,Ginagawa ng mga siyentipiko ito kapag nakakahanap sila ng mga bagong bagay. Marunong ka bang magbaybay nito?,Science
4,EASY,INVENTION,A new device or process created,The light bulb was an important this. Can you spell it?,Isang bagong aparato o proseso na nilikha,Ang bombilya ay isang mahalagang ito. Marunong ka bang magbaybay nito?,Science
4,EASY,SOLUTION,An answer to a problem,Math problems have this when you solve them. Can you spell it?,Isang sagot sa isang problema,Ang mga math problem ay may ito kapag nalutas mo sila. Marunong ka bang magbaybay nito?,Academic
4,EASY,PROBLEM,A matter needing to be solved,You face this when something goes wrong. Can you spell it?,Isang bagay na kailangang lutasin,Kinakaharap mo ito kapag may mali. Marunong ka bang magbaybay nito?,Academic
4,EASY,QUESTION,A sentence asking for information,You ask this when you want to know something. Can you spell it?,Isang pangungusap na humihingi ng impormasyon,Tinatanong mo ito kapag gusto mong malaman ang isang bagay. Marunong ka bang magbaybay nito?,Academic
4,EASY,ANSWER,A response to a question,You give this when someone asks you something. Can you spell it?,Isang tugon sa isang tanong,Binibigay mo ito kapag may nagtanong sa iyo. Marunong ka bang magbaybay nito?,Academic
4,EASY,IDEA,A thought or suggestion,You have this when you think of something new. Can you spell it?,Isang kaisipan o mungkahi,Mayroon ka nito kapag nag-isip ka ng isang bagong bagay. Marunong ka bang magbaybay nito?,Academic
4,EASY,SCIENCE,Study of the natural world,You learn about plants and animals in this subject. Can you spell it?,Pag-aaral ng natural na mundo,Natututo ka tungkol sa mga halaman at hayop sa subject na ito. Marunong ka bang magbaybay nito?,Academic
4,EASY,MATHEMATICS,Study of numbers and shapes,You solve equations in this subject. Can you spell it?,Pag-aaral ng mga numero at hugis,Nalulutas mo ang mga equation sa subject na ito. Marunong ka bang magbaybay nito?,Academic
4,EASY,HISTORY,Study of past events,You learn about ancient civilizations in this subject. Can you spell it?,Pag-aaral ng mga nakaraang kaganapan,Natututo ka tungkol sa mga sinaunang sibilisasyon sa subject na ito. Marunong ka bang magbaybay nito?,Academic
4,EASY,GEOGRAPHY,Study of Earth's features,You learn about countries and continents in this subject. Can you spell it?,Pag-aaral ng mga katangian ng Daigdig,Natututo ka tungkol sa mga bansa at kontinente sa subject na ito. Marunong ka bang magbaybay nito?,Academic
4,EASY,LANGUAGE,System of communication using words,English and Filipino are examples of this. Can you spell it?,Sistema ng komunikasyon gamit ang mga salita,Ang English at Filipino ay mga halimbawa nito. Marunong ka bang magbaybay nito?,Academic
4,EASY,LITERATURE,Written works like books and poems,You study stories and poetry in this subject. Can you spell it?,Mga nakasulat na gawa tulad ng mga aklat at tula,Nag-aaral ka ng mga kuwento at tula sa subject na ito. Marunong ka bang magbaybay nito?,Academic
4,EASY,EXPERIMENT,A test to discover something,Scientists do this in laboratories. Can you spell it?,Isang pagsubok upang matuklasan ang isang bagay,Ginagawa ng mga siyentipiko ito sa mga laboratoryo. Marunong ka bang magbaybay nito?,Science
4,EASY,OBSERVATION,Watching something carefully,You make this when you study nature. Can you spell it?,Pagmamasid ng isang bagay nang maingat,Ginagawa mo ito kapag nag-aaral ka ng kalikasan. Marunong ka bang magbaybay nito?,Science
4,EASY,INVESTIGATION,Systematic examination of something,Detectives conduct this to solve crimes. Can you spell it?,Sistematikong pagsusuri ng isang bagay,Isinasagawa ng mga detective ito upang lutasin ang mga krimen. Marunong ka bang magbaybay nito?,Science
4,EASY,EXPLORATION,Traveling to discover new places,Astronauts do this in space. Can you spell it?,Paglalakbay upang matuklasan ang mga bagong lugar,Ginagawa ng mga astronaut ito sa kalawakan. Marunong ka bang magbaybay nito?,Science
4,EASY,RESEARCH,Careful study to find new information,Students do this for their projects. Can you spell it?,Maingat na pag-aaral upang makahanap ng bagong impormasyon,Ginagawa ng mga estudyante ito para sa kanilang mga proyekto. Marunong ka bang magbaybay nito?,Academic
4,EASY,LEARNING,Acquiring knowledge or skills,You do this every day at school. Can you spell it?,Pagkuha ng kaalaman o kasanayan,Ginagawa mo ito araw-araw sa paaralan. Marunong ka bang magbaybay nito?,Academic
4,EASY,STUDYING,Devoting time to learning,You do this before taking a test. Can you spell it?,Paglalaan ng oras sa pag-aaral,Ginagawa mo ito bago kumuha ng pagsusulit. Marunong ka bang magbaybay nito?,Academic
4,EASY,PRACTICING,Repeating to improve a skill,Musicians do this to get better. Can you spell it?,Pag-uulit upang mapabuti ang isang kasanayan,Ginagawa ng mga musikero ito upang maging mas mahusay. Marunong ka bang magbaybay nito?,Academic
4,EASY,REVIEWING,Looking over something again,You do this before exams to remember lessons. Can you spell it?,Pagtingin muli sa isang bagay,Ginagawa mo ito bago ang mga pagsusulit upang matandaan ang mga aralin. Marunong ka bang magbaybay nito?,Academic
4,EASY,MEMORIZING,Committing something to memory,You do this with multiplication tables. Can you spell it?,Pag-alaala ng isang bagay,Ginagawa mo ito sa mga multiplication table. Marunong ka bang magbaybay nito?,Academic
4,EASY,UNDERSTANDING,Grasping the meaning of something,You gain this when you study carefully. Can you spell it?,Pag-unawa sa kahulugan ng isang bagay,Nakakakuha ka nito kapag nag-aaral ka nang maingat. Marunong ka bang magbaybay nito?,Academic
4,EASY,KNOWLEDGE,Information and skills acquired,You gain this through education. Can you spell it?,Impormasyon at kasanayan na nakuha,Nakakakuha ka nito sa pamamagitan ng edukasyon. Marunong ka bang magbaybay nito?,Academic
4,EASY,WISDOM,Good judgment based on experience,Elders are known for their this. Can you spell it?,Mabuting paghatol batay sa karanasan,Ang mga matatanda ay kilala sa kanilang ito. Marunong ka bang magbaybay nito?,Knowledge
4,EASY,INTELLIGENCE,Ability to learn and understand,Humans have high this compared to animals. Can you spell it?,Kakayahang matuto at umunawa,Ang mga tao ay may mataas na ito kumpara sa mga hayop. Marunong ka bang magbaybay nito?,Knowledge
4,EASY,THINKING,Using your mind to reason,You do this when solving problems. Can you spell it?,Paggamit ng iyong isip upang mag-isip,Ginagawa mo ito kapag nalulutas ang mga problema. Marunong ka bang magbaybay nito?,Academic
4,EASY,REASONING,Logical thinking process,You use this to draw conclusions. Can you spell it?,Lohikal na proseso ng pag-iisip,Ginagamit mo ito upang gumawa ng mga konklusyon. Marunong ka bang magbaybay nito?,Academic
4,EASY,ANALYZING,Examining something in detail,Scientists do this with data. Can you spell it?,Pagsusuri ng isang bagay nang detalyado,Ginagawa ng mga siyentipiko ito sa data. Marunong ka bang magbaybay nito?,Academic
4,EASY,COMPARING,Finding similarities and differences,You do this when choosing between options. Can you spell it?,Paghahanap ng pagkakatulad at pagkakaiba,Ginagawa mo ito kapag pumipili sa pagitan ng mga opsyon. Marunong ka bang magbaybay nito?,Academic
4,MEDIUM,DEVELOPMENT,Process of growth and change,Children go through this as they mature. Can you spell it?,Proseso ng paglaki at pagbabago,Dumadaan ang mga bata sa ito habang tumatanda. Marunong ka bang magbaybay nito?,Growth
4,MEDIUM,IMPROVEMENT,Making something better,Practice leads to this in your skills. Can you spell it?,Paggawa ng isang bagay na mas mahusay,Ang pagsasanay ay humahantong sa ito sa iyong mga kasanayan. Marunong ka bang magbaybay nito?,Growth
4,MEDIUM,ACHIEVEMENT,Something accomplished successfully,Winning a medal is an this. Can you spell it?,Isang bagay na matagumpay na natapos,Ang pagwawagi ng medalya ay isang ito. Marunong ka bang magbaybay nito?,Success
4,MEDIUM,EXCELLENCE,Outstanding quality or performance,Students strive for this in their work. Can you spell it?,Natatanging kalidad o pagganap,Nagsusumikap ang mga estudyante para sa ito sa kanilang trabaho. Marunong ka bang magbaybay nito?,Success
4,MEDIUM,PROGRESS,Forward movement toward a goal,You make this when you improve. Can you spell it?,Pasulong na paggalaw tungo sa isang layunin,Ginagawa mo ito kapag bumubuti ka. Marunong ka bang magbaybay nito?,Growth
4,MEDIUM,SUCCESS,Achieving a desired aim,Hard work often leads to this. Can you spell it?,Pagkamit ng isang nais na layunin,Ang sipag sa trabaho ay madalas na humahantong sa ito. Marunong ka bang magbaybay nito?,Success
4,MEDIUM,ANALYSIS,Detailed examination of something,Scientists do this with their findings. Can you spell it?,Detalyadong pagsusuri ng isang bagay,Ginagawa ng mga siyentipiko ito sa kanilang mga natuklasan. Marunong ka bang magbaybay nito?,Academic
4,MEDIUM,SYNTHESIS,Combining parts into a whole,Writers do this when creating stories. Can you spell it?,Pagsasama ng mga bahagi sa isang buo,Ginagawa ng mga manunulat ito kapag lumilikha ng mga kuwento. Marunong ka bang magbaybay nito?,Academic
4,MEDIUM,EVALUATION,Judging the value of something,Teachers do this when grading papers. Can you spell it?,Paghatol sa halaga ng isang bagay,Ginagawa ng mga guro ito kapag nagbibigay ng grado sa mga papel. Marunong ka bang magbaybay nito?,Academic
4,MEDIUM,APPLICATION,Putting knowledge to practical use,You do this when you use what you learned. Can you spell it?,Paglalagay ng kaalaman sa praktikal na paggamit,Ginagawa mo ito kapag ginagamit mo ang iyong natutunan. Marunong ka bang magbaybay nito?,Academic
4,MEDIUM,COMPREHENSION,Understanding of something,Reading tests measure your this. Can you spell it?,Pag-unawa sa isang bagay,Sinusukat ng mga reading test ang iyong ito. Marunong ka bang magbaybay nito?,Academic
4,MEDIUM,ORGANIZATION,Systematic arrangement,Your notes need this to be useful. Can you spell it?,Sistematikong pag-aayos,Kailangan ng iyong mga tala ito upang maging kapaki-pakinabang. Marunong ka bang magbaybay nito?,Skills
4,MEDIUM,CLASSIFICATION,Grouping by shared characteristics,Scientists use this to organize living things. Can you spell it?,Pagpapangkat ayon sa mga pagkakatulad,Ginagamit ng mga siyentipiko ito upang ayusin ang mga buhay na bagay. Marunong ka bang magbaybay nito?,Science
4,MEDIUM,CATEGORIZATION,Placing into categories,Libraries use this for organizing books. Can you spell it?,Paglalagay sa mga kategorya,Ginagamit ng mga library ito para sa pag-aayos ng mga aklat. Marunong ka bang magbaybay nito?,Skills
4,MEDIUM,ARRANGEMENT,Organized placement of things,Flower this makes bouquets beautiful. Can you spell it?,Organisadong paglalagay ng mga bagay,Ang bulaklak na ito ay gumagawa ng magagandang bouquet. Marunong ka bang magbaybay nito?,Skills
4,MEDIUM,STRUCTURE,Way something is organized,Buildings have this to stay standing. Can you spell it?,Paraan ng pag-oorganisa ng isang bagay,Ang mga gusali ay may ito upang manatiling nakatayo. Marunong ka bang magbaybay nito?,Science
4,MEDIUM,PRESENTATION,Showing something to others,Students give this in class. Can you spell it?,Pagpapakita ng isang bagay sa iba,Nagbibigay ang mga estudyante nito sa klase. Marunong ka bang magbaybay nito?,Skills
4,MEDIUM,DEMONSTRATION,Showing how something works,Teachers give this to explain concepts. Can you spell it?,Pagpapakita kung paano gumagana ang isang bagay,Nagbibigay ang mga guro nito upang ipaliwanag ang mga konsepto. Marunong ka bang magbaybay nito?,Skills
4,MEDIUM,EXPLANATION,Making something clear,You give this when someone doesn't understand. Can you spell it?,Paglilinaw ng isang bagay,Binibigay mo ito kapag hindi nakakaintindi ang isang tao. Marunong ka bang magbaybay nito?,Skills
4,MEDIUM,DESCRIPTION,Detailed account of something,Writers use this to paint pictures with words. Can you spell it?,Detalyadong paglalarawan ng isang bagay,Ginagamit ng mga manunulat ito upang magpinta ng mga larawan gamit ang mga salita. Marunong ka bang magbaybay nito?,Skills
4,MEDIUM,ILLUSTRATION,Example that explains something,Pictures serve as this in books. Can you spell it?,Halimbawa na nagpapaliwanag ng isang bagay,Ang mga larawan ay nagsisilbing ito sa mga aklat. Marunong ka bang magbaybay nito?,Skills
4,MEDIUM,CALCULATION,Mathematical computation,You do this when solving math problems. Can you spell it?,Matematikong pagkukuwenta,Ginagawa mo ito kapag nalulutas ang mga math problem. Marunong ka bang magbaybay nito?,Math
4,MEDIUM,MEASUREMENT,Determining size or amount,Scientists use this in experiments. Can you spell it?,Pagtukoy ng laki o dami,Ginagamit ng mga siyentipiko ito sa mga eksperimento. Marunong ka bang magbaybay nito?,Science
4,MEDIUM,ESTIMATION,Approximate calculation,You use this when you don't need exact numbers. Can you spell it?,Tinatayang pagkukuwenta,Ginagamit mo ito kapag hindi mo kailangan ng eksaktong numero. Marunong ka bang magbaybay nito?,Math
4,MEDIUM,PREDICTION,Saying what will happen,Weather forecasters make this about the weather. Can you spell it?,Pagsasabi ng mangyayari,Ginagawa ng mga weather forecaster ito tungkol sa panahon. Marunong ka bang magbaybay nito?,Science
4,MEDIUM,CONCLUSION,Final decision or judgment,You reach this after analyzing evidence. Can you spell it?,Huling desisyon o paghatol,Naaabot mo ito pagkatapos suriin ang ebidensya. Marunong ka bang magbaybay nito?,Academic
4,MEDIUM,INFERENCE,Conclusion based on evidence,You make this when you read between the lines. Can you spell it?,Konklusyon batay sa ebidensya,Ginagawa mo ito kapag nagbabasa ka sa pagitan ng mga linya. Marunong ka bang magbaybay nito?,Academic
4,MEDIUM,DEDUCTION,Reasoning from general to specific,Detectives use this to solve cases. Can you spell it?,Pangangatwiran mula pangkalahatan tungo sa tiyak,Ginagamit ng mga detective ito upang lutasin ang mga kaso. Marunong ka bang magbaybay nito?,Academic
4,MEDIUM,REASONING,Logical thinking process,You use this to solve problems. Can you spell it?,Lohikal na proseso ng pag-iisip,Ginagamit mo ito upang lutasin ang mga problema. Marunong ka bang magbaybay nito?,Academic
4,MEDIUM,HYPOTHESIS,Educated guess to be tested,Scientists form this before experiments. Can you spell it?,Edukadong hula na susubukan,Bumubuo ang mga siyentipiko nito bago ang mga eksperimento. Marunong ka bang magbaybay nito?,Science
4,MEDIUM,THEORY,Explanation based on evidence,Scientists develop this to explain phenomena. Can you spell it?,Paliwanag batay sa ebidensya,Bumubuo ang mga siyentipiko nito upang ipaliwanag ang mga phenomena. Marunong ka bang magbaybay nito?,Science
4,HARD,INVESTIGATION,Systematic inquiry into something,Police conduct this to solve crimes. Can you spell it?,Sistematikong pagsisiyasat sa isang bagay,Isinasagawa ng pulisya ito upang lutasin ang mga krimen. Marunong ka bang magbaybay nito?,Science
4,HARD,EXPERIMENTATION,Testing through controlled trials,Scientists use this method to discover new things. Can you spell it?,Pagsubok sa pamamagitan ng kontroladong pagsusulit,Ginagamit ng mga siyentipiko ang pamamaraang ito upang matuklasan ang mga bagong bagay. Marunong ka bang magbaybay nito?,Science
4,HARD,OBSERVATION,Careful watching and recording,Astronomers do this to study stars. Can you spell it?,Maingat na pagmamasid at pagtatala,Ginagawa ng mga astronomo ito upang pag-aralan ang mga bituin. Marunong ka bang magbaybay nito?,Science
4,HARD,DOCUMENTATION,Recording information systematically,Researchers do this to keep track of findings. Can you spell it?,Sistematikong pagtatala ng impormasyon,Ginagawa ng mga mananaliksik ito upang subaybayan ang mga natuklasan. Marunong ka bang magbaybay nito?,Academic
4,HARD,VERIFICATION,Confirming something is true,Scientists do this to check their results. Can you spell it?,Pagkumpirma na totoo ang isang bagay,Ginagawa ng mga siyentipiko ito upang suriin ang kanilang mga resulta. Marunong ka bang magbaybay nito?,Science
4,HARD,HYPOTHESIS,Proposed explanation to be tested,Scientists create this before conducting experiments. Can you spell it?,Iminungkahing paliwanag na susubukan,Lumilikha ang mga siyentipiko nito bago magsagawa ng mga eksperimento. Marunong ka bang magbaybay nito?,Science
4,HARD,THEORY,Well-supported explanation,Einstein developed this about relativity. Can you spell it?,Suportadong paliwanag,Binuo ni Einstein ito tungkol sa relativity. Marunong ka bang magbaybay nito?,Science
4,HARD,CONCLUSION,Final result or decision,You reach this at the end of research. Can you spell it?,Huling resulta o desisyon,Naaabot mo ito sa dulo ng pananaliksik. Marunong ka bang magbaybay nito?,Academic
4,HARD,INFERENCE,Logical conclusion from evidence,Readers make this from context clues. Can you spell it?,Lohikal na konklusyon mula sa ebidensya,Ginagawa ng mga mambabasa ito mula sa context clue. Marunong ka bang magbaybay nito?,Academic
4,HARD,DEDUCTION,Reasoning from general to specific,Sherlock Holmes was famous for his this. Can you spell it?,Pangangatwiran mula pangkalahatan tungo sa tiyak,Si Sherlock Holmes ay sikat sa kanyang ito. Marunong ka bang magbaybay nito?,Academic
4,HARD,REASONING,Process of thinking logically,Mathematicians use this to prove theorems. Can you spell it?,Proseso ng lohikal na pag-iisip,Ginagamit ng mga matematiko ito upang patunayan ang mga theorem. Marunong ka bang magbaybay nito?,Academic
4,HARD,CLASSIFICATION,Systematic arrangement into groups,Biologists use this to organize species. Can you spell it?,Sistematikong pag-aayos sa mga grupo,Ginagamit ng mga biologist ito upang ayusin ang mga species. Marunong ka bang magbaybay nito?,Science
4,HARD,CATEGORIZATION,Organizing into categories,Librarians use this system for books. Can you spell it?,Pag-oorganisa sa mga kategorya,Ginagamit ng mga librarian ang sistemang ito para sa mga aklat. Marunong ka bang magbaybay nito?,Skills
4,HARD,SYSTEMATIZATION,Creating an organized system,Businesses need this for efficiency. Can you spell it?,Paglikha ng isang organisadong sistema,Kailangan ng mga negosyo ito para sa kahusayan. Marunong ka bang magbaybay nito?,Skills
4,HARD,ORGANIZATION,Structured arrangement,Good this helps you find things easily. Can you spell it?,Nakaayos na pag-aayos,Ang mabuting ito ay tumutulong sa iyo na makahanap ng mga bagay nang madali. Marunong ka bang magbaybay nito?,Skills
4,HARD,INTERPRETATION,Explaining the meaning of something,Translators do this with languages. Can you spell it?,Pagpapaliwanag ng kahulugan ng isang bagay,Ginagawa ng mga tagasalin ito sa mga wika. Marunong ka bang magbaybay nito?,Skills
